date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:18	487/487	---MCZ	200	added ('OK')	text/plain	etag:cacheable:05e6be5d481c2f030ebfef8cc9cb7ae9	https://boom-theme.myshopify.com/robots.txt		(from )
23:35:18	125924/125924	---MCZ	200	added ('OK')	text/html	etag:cacheable:c59f6e397fb1aa53bf5ee5e9913682de	https://boom-theme.myshopify.com/	C:/My%20Web%20Sites/e-commerce/boom-theme.myshopify.com/index.html	(from )
23:35:19	371/371	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Apr%202021%2019:33:37%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/favicon.png?v=4599385683376967758	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/favicon6869.png	(from https://boom-theme.myshopify.com/)
23:35:19	2252/2252	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Apr%202021%2009:39:59%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/logo.png?v=8319783983011445918	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/logod40c.png	(from https://boom-theme.myshopify.com/)
23:35:24	633246/633246	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Apr%202021%2023:35:23%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/frame.scss.css?v=4263887276170191886	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/frame.scss3fa6.css	(from https://boom-theme.myshopify.com/)
23:35:26	56372/56372	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Feb%202021%2008:42:27%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/style.css?v=10936923291504767764	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/style4edd.css	(from https://boom-theme.myshopify.com/)
23:35:26	16660/16660	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Feb%202021%2008:41:50%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/prettyPhoto.css?v=12757784511525754184	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/prettyPhotode1c.css	(from https://boom-theme.myshopify.com/)
23:35:27	23848/23848	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Feb%202021%2008:41:02%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/animate.css?v=17046942425478865338	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/animatea14e.css	(from https://boom-theme.myshopify.com/)
23:35:27	55465/55465	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Feb%202021%2008:41:17%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/font-all.min.css?v=14597452402338798491	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/font-all.minc83d.css	(from https://boom-theme.myshopify.com/)
23:35:30	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	http://code.jquery.com/jquery-3.2.1.min.js	C:/My%20Web%20Sites/e-commerce/code.jquery.com/jquery-3.2.1.min.js	(from https://boom-theme.myshopify.com/)
23:35:30	37317/37317	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Feb%202021%2008:42:27%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/header.js?v=10373096426439681222	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/header6070.js	(from https://boom-theme.myshopify.com/)
23:35:30	9123/9123	---M--	200	added ('OK')	image/gif	date:Thu,%2015%20Apr%202021%2013:22:09%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/loading.gif?v=9255329245202621775	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/loading9491.gif	(from https://boom-theme.myshopify.com/)
23:35:33	89044/89044	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:5dc00729a9f3b16c1b4515a77715711f	https://boom-theme.myshopify.com/POST	C:/My%20Web%20Sites/e-commerce/boom-theme.myshopify.com/POST.b.delayed	(from https://boom-theme.myshopify.com/)
23:35:34	92792/92792	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	C:/My%20Web%20Sites/e-commerce/ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	(from https://boom-theme.myshopify.com/)
23:35:34	77409/77409	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Apr%202021%2017:53:50%20GMT	https://cdn.shopify.com/s/trekkie.storefront.3d6c97158a1d2c655afe5e8a7bfac49f365dde39.min.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/trekkie.storefront.3d6c97158a1d2c655afe5e8a7bfac49f365dde39.min.js	(from https://boom-theme.myshopify.com/)
23:35:34	59617/59617	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Mar%202021%2018:04:34%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://boom-theme.myshopify.com/)
23:35:35	7714/7714	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Apr%202021%2013:54:53%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-714e2e017903fad17d4471cb27d1f2c8a83b5a7a276f92420f7e5e40dbc9136e.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-714e2e017903fad17d4471cb27d1f2c8a83b5a7a276f92420f7e5e40dbc9136e.js	(from https://boom-theme.myshopify.com/)
23:35:35	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://boom-theme.myshopify.com/)
23:35:36	9535/9535	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2016:11:35%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	(from https://boom-theme.myshopify.com/)
23:35:36	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://boom-theme.myshopify.com/)
23:35:37	19/19	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Feb%202021%2008:42:27%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/compiled_assets/styles.css?3053	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/compiled_assets/styles1775.css	(from https://boom-theme.myshopify.com/)
23:35:37	3886/3886	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Feb%202021%2008:42:27%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/compiled_assets/scripts.js?3053	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/compiled_assets/scripts1775.js	(from https://boom-theme.myshopify.com/)
23:35:39	977/977	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Apr%202021%2009:39:59%20GMT	http://cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/i-currency-1.png?v=4119523831752903510	C:/My%20Web%20Sites/e-commerce/cdn.shopify.com/s/files/1/0437/0454/9536/t/26/assets/i-currency-1ad35.png	(from https://boom-theme.myshopify.com/)
